#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Die With A Smile","Lady Gaga,Bruno Mars",100,158,"art pop, pop, ","Pop","Die With A Smile",2024-08-16,04:11,52,59,31,0,54,0,10,-8,F#/G♭ Minor,3,2025-01-18,2plbrEY59IikOBgBGLjaoe,"Interscope",11A,USUM72409273
2,"A Bar Song (Tipsy)","Shaboozey",85,81,"","","A Bar Song (Tipsy)",2024-04-12,02:51,72,71,6,0,60,0,0,-5,A Major,4,2025-01-18,2FQrifJ1N335Ljm3TjTVVf,"American Dogwood / EMPIRE",11B,USUYG1541249
3,"BIRDS OF A FEATHER","Billie Eilish",96,105,"","","HIT ME HARD AND SOFT",2024-05-17,03:30,75,51,20,6,44,0,10,-10,D Major,4,2025-01-18,6dOtVTDdiauQNBQEDOtlAB,"Darkroom/Interscope Records",10B,USUM72401994
4,"Smile","Morgan Wallen",83,126,"country","Country","Smile",2024-12-31,03:44,50,22,94,0,40,0,0,-11,B Major,4,2025-01-18,3MJ6lFNV12FSHAOzTzkwxz,"Big Loud Records / Mercury Records / Republic Records",1B,USUG12408922
5,"APT.","ROSÉ,Bruno Mars",95,149,"k-pop, ","Pop","APT.",2024-10-18,02:49,78,78,3,0,94,20,30,-4,C Minor,4,2025-01-18,5vNRhkKd0yEAg8suGBpjeY,"Atlantic Records",5A,USAT22409172
6,"Lose Control","Teddy Swims",81,160,"","","Lose Control",2023-06-23,03:30,56,60,20,0,24,0,10,-4,A Major,3,2025-01-18,6usohdchdzW9oML7VC4Uhk,"Warner Records",11B,USWB12302315
7,"luther (with sza)","Kendrick Lamar,SZA",89,138,"hip hop, west coast hip hop, r&b","Hip Hop, R&B","GNX",2024-11-22,02:57,71,57,25,0,58,10,20,-8,D Major,4,2025-01-18,45J4avUb9Ni0bnETYaYFVJ,"pgLang, under exclusive license to Interscope Records",10B,USUG12408496
8,"That’s So True","Gracie Abrams",96,109,"","","The Secret of Us (Deluxe)",2024-10-18,02:46,55,81,21,0,37,0,10,-4,C♯/D♭ Major,4,2025-01-18,7ne4VBA60CxGM75vw0EYad,"Gracie Abrams, under exclusive license to Interscope Records",3B,USUG12406903
9,"I Had Some Help (Feat. Morgan Wallen)","Post Malone,Morgan Wallen",82,128,"country","Country","I Had Some Help",2024-05-10,02:58,64,86,1,0,73,0,20,-5,G Major,4,2025-01-18,7221xIgOnuakPdLqT0F3nP,"Mercury Records/Republic Records",9B,USUM72404990
10,"Espresso","Sabrina Carpenter",88,104,"","","Espresso",2024-04-12,02:55,70,76,11,0,69,0,10,-5,C Major,4,2025-01-18,2qSkIjg1o9h3YT9RAgYN75,"Island Records",8B,USUM72403305
11,"tv off (feat. lefty gunplay)","Kendrick Lamar,Lefty Gunplay",91,100,"hip hop, west coast hip hop, mexican hip hop","Hip Hop","GNX",2024-11-22,03:40,86,53,8,0,55,20,40,-7,F#/G♭ Minor,4,2025-01-18,0aB0v4027ukVziUGwVGYpG,"pgLang, under exclusive license to Interscope Records",11A,USUG12408493
12,"Taste","Sabrina Carpenter",90,113,"","","Short n' Sweet",2024-08-23,02:37,67,91,10,0,72,0,30,-4,D#/E♭ Major,4,2025-01-18,5G2f63n7IPVPPjfNIGih7Q,"Island Records",5B,USUM72404100
13,"Love Somebody","Morgan Wallen",85,122,"country","Country","Love Somebody",2024-10-18,03:24,62,84,1,0,75,0,10,-5,F Minor,4,2025-01-18,7hR22TOX3RorxJPcsz5Wbo,"Big Loud Records / Mercury Records / Republic Records",4A,USUG12406387
14,"Beautiful Things","Benson Boone",85,105,"","","Beautiful Things",2024-01-18,03:00,47,47,15,0,22,0,10,-6,A#/B♭ Major,3,2025-01-18,6tNQ70jh4OwmPGpYy6R2o9,"Night Street Records, Inc./Warner Records Inc.",6B,USWB12307016
15,"Timeless","The Weeknd",93,120,"","","Timeless",2024-09-27,04:16,77,72,6,0,57,0,10,-5,B Minor,4,2025-01-18,1Es7AUAhQvapIcoh3qMKDL,"XO / Republic Records",10A,USUG12406536
16,"Dum, Dumb, and Dumber (with Young Thug & Future)","Lil Baby,Young Thug,Future",75,130,"rap, melodic rap, trap","Hip Hop","WHAM (Extended Version)",2025-01-10,03:47,79,76,1,0,37,20,30,-5,G#/A♭ Minor,4,2025-01-18,4IKvw1OdeTJIN3g4zWE38f,"Quality Control Music/Motown Records",1A,USUG12500001
17,"Too Sweet","Hozier",76,117,"","","Unheard",2024-03-22,04:11,74,62,3,0,93,0,0,-6,A#/B♭ Major,4,2025-01-18,4IadxL6BUymXlh8RCJJu7T,"Columbia",6B,USSM12401865
18,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator,GloRilla,Sexyy Red,Lil Wayne",89,80,"rap, hip hop","Hip Hop","CHROMAKOPIA",2024-10-28,04:15,51,81,28,0,66,40,40,-4,C♯/D♭ Major,4,2025-01-18,3tFed7YsjGnIfxeLEQwx3R,"Columbia",3B,USQX92405790
19,"squabble up","Kendrick Lamar",88,104,"hip hop, west coast hip hop","Hip Hop","GNX",2024-11-22,02:37,87,67,2,0,71,20,0,-6,C Major,4,2025-01-18,0nj9Bq5sHDiTxSHunhgkFb,"pgLang, under exclusive license to Interscope Records",8B,USUG12408494
20,"Stargazing","Myles Smith",86,124,"","","Stargazing",2024-05-10,02:52,64,60,25,0,33,0,10,-6,C♯/D♭ Minor,4,2025-01-18,3Vr3zh0r7ALn8VLqCiRR10,"RCA Records Label",12A,GBARL2400510
21,"Good Luck, Babe!","Chappell Roan",92,117,"","","Good Luck, Babe!",2024-04-05,03:38,70,58,5,0,79,0,0,-6,B Minor,4,2025-01-18,0WbMK4wrZ1wFSty9F7FCgu,"Chappell Roan PS/ Island",10A,USUG12401967
22,"30 For 30 (with Kendrick Lamar)","SZA,Kendrick Lamar",86,140,"r&b, hip hop, west coast hip hop","Hip Hop, R&B","SOS Deluxe: LANA",2024-12-20,04:38,71,42,76,0,51,0,10,-10,C♯/D♭ Minor,4,2025-01-18,3aSWXU6owkZeVhh94XxEWO,"Top Dawg Entertainment/RCA Records",12A,USRC12403853
23,"Not Like Us","Kendrick Lamar",87,101,"hip hop, west coast hip hop","Hip Hop","Not Like Us",2024-05-04,04:34,90,47,1,0,21,0,10,-7,C♯/D♭ Major,4,2025-01-18,6AI3ezQ4o3HUoP6Dhudph3,"Kendrick Lamar, under exclusive license to Interscope Records",3B,USUG12400910
24,"Messy","Lola Young",89,111,"","","Messy",2024-05-30,04:44,80,55,11,0,65,0,10,-6,A Major,4,2025-01-18,3SKH53SPQbEnZR4cJPVaz2,"Universal-Island Records Ltd.",11B,GBUM72401610
25,"High Road (feat. Jessie Murph)","Koe Wetzel,Jessie Murph",72,138,"red dirt, texas country, country, country rock, ","Country, Rock","High Road (feat. Jessie Murph)",2024-06-07,02:59,61,74,8,0,62,0,10,-5,F#/G♭ Major,4,2025-01-18,73KAidtqbDftZjy8AD0H04,"Columbia",2B,USQX92401733
26,"WHATCHU KNO ABOUT ME (with Sexyy Red)","GloRilla,Sexyy Red",75,167,"","","WHATCHU KNO ABOUT ME (with Sexyy Red)",2024-10-10,02:29,84,69,1,0,70,30,20,-4,C♯/D♭ Major,4,2025-01-18,4VI2Y5xg4gYynQqNQNQbTN,"CMG/Interscope Records",3B,USUM72411015
27,"NUEVAYoL","Bad Bunny",94,138,"reggaeton, trap latino, latin, urbano latino","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,03:03,14,20,27,100,12,10,20,-20,F#/G♭ Major,4,2025-01-18,5TFD2bmFKGhoCRbX61nXY5,"Rimas Entertainment LLC.",2B,QMFMF2447055
28,"BAILE INoLVIDABLE","Bad Bunny",95,119,"reggaeton, trap latino, latin, urbano latino","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,06:07,17,0,19,79,22,0,10,-46,A#/B♭ Major,3,2025-01-18,2lTm559tuIvatlT1u0JYG2,"Rimas Entertainment LLC.",6B,QMFMF2447057
29,"Tweaker","G3 GELO",78,167,"","","Tweaker",2025-01-03,03:09,67,80,3,0,86,30,0,-9,C Minor,4,2025-01-18,5nk6BxN9bM5rLNkA3pMOzn,"Born To Ball Music Group",5A,QT3F42457524
30,"Sailor Song","Gigi Perez",47,95,"","","Sailor Song",2024-07-26,03:31,49,42,69,0,30,0,20,-10,B Major,4,2025-01-18,0UYnhUfnUj5adChuAXvLUB,"Gigi Perez",1B,USHM92438095
31,"Wind Up Missin' You","Tucker Wetmore",19,172,"country","Country","Wind Up Missin' You",2024-03-29,02:46,57,73,52,0,62,0,10,-6,F#/G♭ Major,4,2025-01-18,5JRYVSZ6K2jY0kznYBmoqr,"Tucker Wetmore / Back Blocks Music",2B,QM24S2401097
32,"Please Please Please","Sabrina Carpenter",84,107,"","","Please Please Please",2024-06-06,03:06,67,59,27,0,58,0,10,-6,A Major,4,2025-01-18,5N3hjp1WNayUPZrA8kJmJP,"Island Records",11B,USUM72404101
