#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"DtMF","Bad Bunny",91,136,"reggaeton, trap latino, urbano latino","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,03:57,63,13,18,22,3,0,0,-27,G Minor,4,2025-01-15,3sK8wGT43QFpWrvNQsrQya,"Rimas Entertainment LLC.",6A,QMFMF2447070
2,"BAILE INoLVIDABLE","Bad Bunny",90,119,"reggaeton, trap latino, urbano latino","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,06:07,17,0,19,79,22,0,10,-46,A#/B♭ Major,3,2025-01-15,2lTm559tuIvatlT1u0JYG2,"Rimas Entertainment LLC.",6B,QMFMF2447057
3,"NUEVAYoL","Bad Bunny",90,138,"reggaeton, trap latino, urbano latino","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,03:03,14,20,27,100,12,10,20,-20,F#/G♭ Major,4,2025-01-15,5TFD2bmFKGhoCRbX61nXY5,"Rimas Entertainment LLC.",2B,QMFMF2447055
4,"Die With A Smile","Lady Gaga,Bruno Mars",100,158,"art pop, dance pop, pop","Pop","Die With A Smile",2024-08-16,04:11,52,59,31,0,54,0,10,-8,F#/G♭ Minor,3,2025-01-15,2plbrEY59IikOBgBGLjaoe,"Interscope",11A,USUM72409273
5,"luther (with sza)","Kendrick Lamar,SZA",87,138,"conscious hip hop, hip hop, rap, west coast rap, pop, r&b","Hip Hop, Pop, R&B","GNX",2024-11-21,02:57,71,57,25,0,58,10,20,-8,D Major,4,2025-01-15,2CGNAOSuO1MEFCbBRgUzjd,"pgLang, under exclusive license to Interscope Records",10B,USUG12408496
6,"That’s So True","Gracie Abrams",96,109,"alt z","Pop","The Secret of Us (Deluxe)",2024-10-18,02:46,55,81,21,0,37,0,10,-4,C♯/D♭ Major,4,2025-01-15,7ne4VBA60CxGM75vw0EYad,"Gracie Abrams, under exclusive license to Interscope Records",3B,USUG12406903
7,"tv off (feat. lefty gunplay)","Kendrick Lamar,Lefty Gunplay",91,100,"conscious hip hop, hip hop, rap, west coast rap, ","Hip Hop","GNX",2024-11-22,03:40,86,53,8,0,55,20,40,-7,F#/G♭ Minor,4,2025-01-15,0aB0v4027ukVziUGwVGYpG,"pgLang, under exclusive license to Interscope Records",11A,USUG12408493
8,"VOY A LLeVARTE PA PR","Bad Bunny",89,106,"reggaeton, trap latino, urbano latino","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,02:36,15,60,92,45,0,0,40,-35,G Major,3,2025-01-15,59D4DOkspUbWyMmbAPQkxZ,"Rimas Entertainment LLC.",9B,QMFMF2447056
9,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator,GloRilla,Sexyy Red,Lil Wayne",89,80,"hip hop, rap, southern hip hop, trap queen, new orleans rap, pop rap, trap","Hip Hop, R&B","CHROMAKOPIA",2024-10-28,04:15,51,81,28,0,66,40,40,-4,C♯/D♭ Major,4,2025-01-15,3tFed7YsjGnIfxeLEQwx3R,"Columbia",3B,USQX92405790
10,"VeLDÁ","Bad Bunny,Omar Courtz,Dei V",88,102,"reggaeton, trap latino, urbano latino, trap boricua","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,03:55,61,98,29,0,3,10,40,-19,C♯/D♭ Major,3,2025-01-15,7d6yK8v8J484SWH5prIQiE,"Rimas Entertainment LLC.",3B,QMFMF2447060
11,"BIRDS OF A FEATHER","Billie Eilish",97,105,"art pop, pop","Pop","HIT ME HARD AND SOFT",2024-05-17,03:30,75,51,20,6,44,0,10,-10,D Major,4,2025-01-15,6dOtVTDdiauQNBQEDOtlAB,"Darkroom/Interscope Records",10B,USUM72401994
12,"EoO","Bad Bunny",87,64,"reggaeton, trap latino, urbano latino","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,03:24,36,46,75,86,18,0,0,-30,A#/B♭ Minor,4,2025-01-15,6J5kc12BW5HuP3d7C3vvx8,"Rimas Entertainment LLC.",3A,QMFMF2447069
13,"Sailor Song","Gigi Perez",93,95,"bedroom pop","Pop","Sailor Song",2024-07-26,03:31,49,41,68,0,27,0,10,-10,B Major,4,2025-01-15,2262bWmqomIaJXwCRHr13j,"Gigi Perez PS/ Island",1B,USHM92438095
14,"APT.","ROSÉ,Bruno Mars",90,149,"k-pop, dance pop, pop","Pop","rosie",2024-12-06,02:49,78,78,3,0,94,20,30,-4,C Minor,4,2025-01-15,4wJ5Qq0jBN4ajy7ouZIV1c,"Atlantic Records",5A,USAT22409172
